DY, 213650.078125, 1334.6407399177551, 5.000359058380127
GJets, 0.4856029748916626, 0, 0
SingleTop, 501.47613525390625, 9.7583494186401367, 0
ZH, 50.356334686279297, 1.288083778694272, 0.0077159274369478226
VV, 3655.76953125, 31.168230392038822, 0.067669250071048737
TT, 3534.59033203125, 84.094948798418045, 0.22129157185554504
VG, 6099.6103515625, 48.829853335395455, 0.01208905316889286
QCD, 0, 0, 0
WJets, 27.112125396728516, 0, 0
Total, 227519.46875, 1509.7801942825317, 5.3091249465942383
altTT, 3803.037841796875, 72.970055401325226, 0.97425156831741333
altVV, 2253.81689453125, 19.02570915222168, 0
altDY, 213650.28125, 1334.6407399177551, 5.000359058380127
light, 219747.15625, 1383.4705781936646, 5.0124483108520508
light_alt, 219747.15625, 1383.4705781936646, 5.0124483108520508
heavy, 4036.06640625, 93.853295356035233, 0.22129157185554504
heavy_alt, 4304.51416015625, 82.728401958942413, 0.97425156831741333
other, 3736.25341796875, 32.456313215196133, 0.07538517564535141
other_alt, 2334.30078125, 20.313791977241635, 0.0077159274369478226
ZZ, 906.50390625, 6.7648749351501465, 0
WZ, 1266.888671875, 12.260833740234375, 0
WW, 80.424362182617188, 0, 0
h_Sig_MS55ct100, 5.6077451705932617, 11.942687749862671, 3.1493103504180908
h_Sig_MS55ct100_EGSUp, 5.6077451705932617, 11.942687749862671, 3.1493103504180908
h_Sig_MS55ct100_EGSDown, 5.6077451705932617, 11.942687749862671, 3.1493103504180908
h_Sig_MS55ct100_MESUp, 5.8359012603759766, 12.114400446414948, 3.1807098388671875
h_Sig_MS55ct100_MESDown, 5.4366312026977539, 11.700447082519531, 3.1071934700012207
h_Sig_MS55ct100_LeptonSFUp, 5.6430821418762207, 12.016470015048981, 3.1679954528808594
h_Sig_MS55ct100_LeptonSFDown, 5.572411060333252, 11.868900716304779, 3.1306233406066895
